date,employees
1990-01-01,1064.5
1990-02-01,1074.5
1990-03-01,1090.0
1990-04-01,1097.4
1990-05-01,1108.7
1990-06-01,1123.5
1990-07-01,1134.2
1990-08-01,1137.4
1990-09-01,1128.8
1990-10-01,1106.8
1990-11-01,1104.3
1990-12-01,1106.4
1991-01-01,1067.0
1991-02-01,1082.6
1991-03-01,1097.1
1991-04-01,1121.9
1991-05-01,1138.1
1991-06-01,1148.6
1991-07-01,1148.2
1991-08-01,1151.7
1991-09-01,1141.9
1991-10-01,1121.4
1991-11-01,1119.3
1991-12-01,1122.3
1992-01-01,1071.5
1992-02-01,1083.0
1992-03-01,1096.0
1992-04-01,1116.0
1992-05-01,1126.6
1992-06-01,1134.2
1992-07-01,1143.7
1992-08-01,1144.7
1992-09-01,1137.8
1992-10-01,1116.3
1992-11-01,1112.2
1992-12-01,1112.7
1993-01-01,1084.1
1993-02-01,1092.4
1993-03-01,1103.8
1993-04-01,1117.0
1993-05-01,1136.6
1993-06-01,1149.3
1993-07-01,1148.2
1993-08-01,1153.7
1993-09-01,1150.0
1993-10-01,1129.3
1993-11-01,1123.2
1993-12-01,1133.5
1994-01-01,1097.9
1994-02-01,1112.4
1994-03-01,1124.6
1994-04-01,1137.5
1994-05-01,1155.0
1994-06-01,1170.2
1994-07-01,1170.2
1994-08-01,1174.0
1994-09-01,1170.7
1994-10-01,1147.0
1994-11-01,1145.7
1994-12-01,1154.5
1995-01-01,1123.9
1995-02-01,1140.5
1995-03-01,1157.0
1995-04-01,1171.5
1995-05-01,1193.2
1995-06-01,1208.6
1995-07-01,1209.6
1995-08-01,1217.8
1995-09-01,1213.1
1995-10-01,1189.6
1995-11-01,1192.4
1995-12-01,1199.6
1996-01-01,1175.2
1996-02-01,1194.5
1996-03-01,1211.3
1996-04-01,1215.3
1996-05-01,1238.7
1996-06-01,1243.5
1996-07-01,1249.0
1996-08-01,1255.4
1996-09-01,1242.9
1996-10-01,1230.9
1996-11-01,1230.8
1996-12-01,1240.9
1997-01-01,1188.8
1997-02-01,1205.7
1997-03-01,1224.7
1997-04-01,1241.2
1997-05-01,1259.9
1997-06-01,1277.4
1997-07-01,1259.1
1997-08-01,1268.1
1997-09-01,1254.7
1997-10-01,1230.6
1997-11-01,1227.8
1997-12-01,1230.1
1998-01-01,1206.5
1998-02-01,1227.8
1998-03-01,1242.1
1998-04-01,1257.0
1998-05-01,1271.1
1998-06-01,1288.4
1998-07-01,1293.8
1998-08-01,1298.6
1998-09-01,1291.2
1998-10-01,1266.3
1998-11-01,1265.9
1998-12-01,1279.1
1999-01-01,1236.1
1999-02-01,1256.3
1999-03-01,1276.3
1999-04-01,1288.6
1999-05-01,1308.2
1999-06-01,1321.4
1999-07-01,1330.9
1999-08-01,1331.4
1999-09-01,1326.4
1999-10-01,1308.6
1999-11-01,1305.2
1999-12-01,1315.0
2000-01-01,1268.1
2000-02-01,1290.5
2000-03-01,1312.5
2000-04-01,1321.1
2000-05-01,1340.5
2000-06-01,1362.4
2000-07-01,1369.5
2000-08-01,1376.1
2000-09-01,1369.1
2000-10-01,1341.9
2000-11-01,1337.2
2000-12-01,1348.4
2001-01-01,1314.7
2001-02-01,1334.8
2001-03-01,1353.7
2001-04-01,1361.6
2001-05-01,1378.9
2001-06-01,1395.3
2001-07-01,1397.9
2001-08-01,1402.2
2001-09-01,1378.1
2001-10-01,1362.4
2001-11-01,1353.8
2001-12-01,1358.9
2002-01-01,1319.2
2002-02-01,1336.4
2002-03-01,1356.4
2002-04-01,1383.2
2002-05-01,1404.1
2002-06-01,1420.0
2002-07-01,1410.9
2002-08-01,1418.0
2002-09-01,1403.7
2002-10-01,1385.0
2002-11-01,1376.0
2002-12-01,1386.4
2003-01-01,1346.5
2003-02-01,1363.6
2003-03-01,1377.2
2003-04-01,1389.6
2003-05-01,1405.1
2003-06-01,1426.5
2003-07-01,1426.1
2003-08-01,1433.3
2003-09-01,1419.6
2003-10-01,1407.6
2003-11-01,1402.5
2003-12-01,1412.4
2004-01-01,1381.7
2004-02-01,1401.4
2004-03-01,1418.6
2004-04-01,1426.0
2004-05-01,1447.8
2004-06-01,1461.3
2004-07-01,1471.7
2004-08-01,1474.8
2004-09-01,1462.0
2004-10-01,1445.0
2004-11-01,1439.1
2004-12-01,1450.9
2005-01-01,1408.9
2005-02-01,1424.7
2005-03-01,1446.5
2005-04-01,1468.7
2005-05-01,1483.0
2005-06-01,1502.4
2005-07-01,1505.3
2005-08-01,1510.0
2005-09-01,1497.8
2005-10-01,1483.3
2005-11-01,1481.1
2005-12-01,1493.2
2006-01-01,1451.3
2006-02-01,1473.1
2006-03-01,1492.1
2006-04-01,1506.7
2006-05-01,1526.8
2006-06-01,1548.3
2006-07-01,1548.3
2006-08-01,1556.2
2006-09-01,1540.4
2006-10-01,1526.9
2006-11-01,1523.6
2006-12-01,1535.7
2007-01-01,1496.7
2007-02-01,1513.9
2007-03-01,1534.5
2007-04-01,1548.0
2007-05-01,1569.3
2007-06-01,1590.4
2007-07-01,1593.2
2007-08-01,1595.1
2007-09-01,1579.6
2007-10-01,1567.1
2007-11-01,1562.4
2007-12-01,1571.3
2008-01-01,1529.5
2008-02-01,1545.2
2008-03-01,1562.8
2008-04-01,1578.1
2008-05-01,1592.6
2008-06-01,1609.4
2008-07-01,1611.4
2008-08-01,1607.2
2008-09-01,1585.6
2008-10-01,1559.0
2008-11-01,1543.6
2008-12-01,1544.0
2009-01-01,1489.8
2009-02-01,1491.4
2009-03-01,1494.2
2009-04-01,1504.5
2009-05-01,1522.2
2009-06-01,1529.1
2009-07-01,1526.0
2009-08-01,1522.5
2009-09-01,1504.5
2009-10-01,1491.3
2009-11-01,1476.7
2009-12-01,1482.0
2010-01-01,1440.3
2010-02-01,1449.5
2010-03-01,1462.4
2010-04-01,1496.3
2010-05-01,1509.4
2010-06-01,1526.2
2010-07-01,1533.0
2010-08-01,1535.2
2010-09-01,1522.1
2010-10-01,1515.0
2010-11-01,1503.9
2010-12-01,1516.0
2011-01-01,1476.0
2011-02-01,1490.3
2011-03-01,1505.7
2011-04-01,1523.7
2011-05-01,1540.1
2011-06-01,1553.5
2011-07-01,1564.3
2011-08-01,1569.0
2011-09-01,1560.3
2011-10-01,1545.9
2011-11-01,1543.6
2011-12-01,1545.6
2012-01-01,1519.0
2012-02-01,1537.0
2012-03-01,1556.9
2012-04-01,1582.2
2012-05-01,1605.2
2012-06-01,1625.7
2012-07-01,1632.6
2012-08-01,1641.5
2012-09-01,1626.2
2012-10-01,1615.5
2012-11-01,1610.8
2012-12-01,1616.2
2013-01-01,1588.7
2013-02-01,1610.9
2013-03-01,1633.2
2013-04-01,1657.5
2013-05-01,1683.3
2013-06-01,1703.2
2013-07-01,1709.5
2013-08-01,1714.7
2013-09-01,1701.0
2013-10-01,1697.8
2013-11-01,1696.2
2013-12-01,1705.8
2014-01-01,1677.1
2014-02-01,1699.0
2014-03-01,1719.9
2014-04-01,1743.2
2014-05-01,1768.2
2014-06-01,1787.0
2014-07-01,1791.6
2014-08-01,1800.6
2014-09-01,1781.5
2014-10-01,1774.7
2014-11-01,1768.8
2014-12-01,1773.2
2015-01-01,1744.5
2015-02-01,1768.6
2015-03-01,1787.9
2015-04-01,1812.6
2015-05-01,1837.2
2015-06-01,1852.8
2015-07-01,1866.9
2015-08-01,1870.4
2015-09-01,1855.4
2015-10-01,1855.0
2015-11-01,1846.3
2015-12-01,1854.1
2016-01-01,1824.4
2016-02-01,1847.3
2016-03-01,1860.2
2016-04-01,1895.2
2016-05-01,1911.2
2016-06-01,1925.3
2016-07-01,1941.7
2016-08-01,1943.1
2016-09-01,1926.7
2016-10-01,1925.4
2016-11-01,1916.1
2016-12-01,1918.1
2017-01-01,1875.3
2017-02-01,1899.0
2017-03-01,1925.1
2017-04-01,1947.1
2017-05-01,1969.2
2017-06-01,1990.6
2017-07-01,1992.9
2017-08-01,1992.0
2017-09-01,1966.9
2017-10-01,1967.3
2017-11-01,1958.6
2017-12-01,1959.2
2018-01-01,1918.9
2018-02-01,1946.5
2018-03-01,1964.3
2018-04-01,1987.0
2018-05-01,2005.5
2018-06-01,2022.3
2018-07-01,2030.6
2018-08-01,2029.8
2018-09-01,2006.0
2018-10-01,2004.0
2018-11-01,1997.6
2018-12-01,2005.4
2019-01-01,1963.5
2019-02-01,1989.8
2019-03-01,2011.0
2019-04-01,2032.8
2019-05-01,2050.3
2019-06-01,2068.2
2019-07-01,2071.6
2019-08-01,2067.0
2019-09-01,2045.6
2019-10-01,2048.7
2019-11-01,2043.7
2019-12-01,2043.4
2020-01-01,2003.7
2020-02-01,2028.3
2020-03-01,1968.7
2020-04-01,1073.6
2020-05-01,1131.0
2020-06-01,1339.3
2020-07-01,1339.2
2020-08-01,1325.9
2020-09-01,1360.8
2020-10-01,1434.1
2020-11-01,1455.8
2020-12-01,1346.3
2021-01-01,1211.6
2021-02-01,1361.5
2021-03-01,1433.0
2021-04-01,1553.7
2021-05-01,1618.7
2021-06-01,1685.3
2021-07-01,1766.3
2021-08-01,1787.5
2021-09-01,1773.5
2021-10-01,1797.4
2021-11-01,1796.7
2021-12-01,1806.0
2022-01-01,1759.1
2022-02-01,1801.0
2022-03-01,1838.4
2022-04-01,1878.0
2022-05-01,1904.1
